Customer_ID,Acquisition_Month,Segment,NPS_Score,Expected_Lifespan_Months,CAC,Technical_Issues,Expected_LTV_in_Two_Years
1,2022-01-31,Mid-Career,3,0,41.17306206485013,2,0
2,2022-01-31,Young Professional,6,5,41.17306206485013,1,54
3,2022-01-31,Mid-Career,5,22,41.17306206485013,0,237
4,2022-01-31,Mid-Career,8,15,41.17306206485013,2,162
5,2022-01-31,Young Professional,10,32,41.17306206485013,0,259
6,2022-01-31,Senior,7,15,41.17306206485013,1,162
7,2022-01-31,Senior,1,0,41.17306206485013,0,0
8,2022-01-31,Senior,2,12,41.17306206485013,0,129
9,2022-01-31,Mid-Career,1,0,41.17306206485013,0,0
10,2022-01-31,Young Professional,4,14,41.17306206485013,0,151
11,2022-01-31,Mid-Career,9,20,41.17306206485013,0,216
12,2022-01-31,Mid-Career,10,11,41.17306206485013,1,118
13,2022-01-31,Young Professional,3,9,41.17306206485013,0,97
14,2022-01-31,Mid-Career,4,25,41.17306206485013,0,259
15,2022-01-31,Young Professional,6,17,41.17306206485013,1,183
16,2022-01-31,Senior,4,9,41.17306206485013,2,97
17,2022-01-31,Mid-Career,4,17,41.17306206485013,1,183
18,2022-01-31,Mid-Career,7,17,41.17306206485013,1,183
19,2022-01-31,Mid-Career,5,13,41.17306206485013,0,140
20,2022-01-31,Mid-Career,6,6,41.17306206485013,0,64
21,2022-01-31,Mid-Career,8,19,41.17306206485013,1,205
22,2022-01-31,Mid-Career,6,21,41.17306206485013,0,226
23,2022-01-31,Senior,2,0,41.17306206485013,2,0
24,2022-01-31,Senior,3,17,41.17306206485013,0,183
25,2022-01-31,Senior,3,7,41.17306206485013,2,75
26,2022-01-31,Senior,2,0,41.17306206485013,1,0
27,2022-01-31,Mid-Career,5,18,41.17306206485013,1,194
28,2022-01-31,Senior,8,15,41.17306206485013,1,162
29,2022-01-31,Young Professional,8,23,41.17306206485013,1,248
30,2022-01-31,Mid-Career,5,9,41.17306206485013,2,97
31,2022-01-31,Young Professional,9,19,41.17306206485013,2,205
32,2022-01-31,Mid-Career,5,15,41.17306206485013,1,162
33,2022-01-31,Mid-Career,10,24,41.17306206485013,0,259
34,2022-01-31,Mid-Career,7,2,41.17306206485013,0,21
35,2022-01-31,Senior,3,0,41.17306206485013,0,0
36,2022-01-31,Mid-Career,7,22,41.17306206485013,0,237
37,2022-01-31,Mid-Career,1,3,41.17306206485013,1,32
38,2022-01-31,Mid-Career,3,4,41.17306206485013,2,43
39,2022-01-31,Young Professional,3,0,41.17306206485013,3,0
40,2022-01-31,Senior,3,0,41.17306206485013,0,0
41,2022-01-31,Young Professional,10,7,41.17306206485013,4,75
42,2022-01-31,Senior,10,21,41.17306206485013,1,226
43,2022-01-31,Senior,5,7,41.17306206485013,0,75
44,2022-01-31,Mid-Career,8,11,41.17306206485013,1,118
